YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202006,147194,885072,1,.87,"SE","MARYDEL",39.11,-75.74,396600,7544400
202006,147194,885073,1,0,"N","MIDDLETOWN",39.45,-75.73,3927000,7543800
202006,147194,885074,1,1.75,"WSW","BLACKISTON",39.26,-75.73,3915600,7543800
202006,147194,885076,1,1.06,"W","CENTERVILLE",39.82,-75.64,3949200,7538400
202006,147194,885077,1,.69,"S","CENTERVILLE",39.81,-75.62,3948600,7537200
202006,147194,885078,1,.53,"E","MIDDLETOWN",39.45,-75.72,3927000,7543200
202006,147195,884885,1,1.28,"WNW","CHURCH HILL",39.14,-76,398400,7600
202006,147195,884887,1,2.11,"NW","BLYTHEDALE",39.6,-76.08,3936000,764800
202006,147195,884891,1,1.07,"E","BIGWOODS",39.28,-76.01,3916800,76600
202006,147195,884893,1,1.48,"SSW","CALVERT",39.68,-75.99,3940800,7559400
202006,147195,884896,1,0,"N","GREENSBORO",38.97,-75.8,3858200,7548000
202006,147217,885104,1,2.79,"SW","GARRISON MUNI ARPT",47.6,-101.42,4736000,10125200
202006,147217,886039,1,.69,"N","BOTTINEAU ARPT",48.84,-100.42,4850400,10025200
202006,147218,885111,1,7.96,"WSW","LINTON MUNI ARPT",46.17,-100.38,4610200,10022800
202006,147218,885112,1,14.95,"ENE","STRASBURG",46.25,-99.91,4615000,9954600
202006,147218,885113,1,3.49,"N","DANZIG",46.18,-99.48,4610800,9928800
202006,147218,885114,1,6.7,"ENE","DANZIG",46.18,-99.35,4610800,9921000
202006,147218,885115,1,5.28,"W","ELLENDALE",46,-98.63,4600,9837800
202006,147218,885165,1,13.95,"NE","ASHLEY",46.1712,-99.1618,4610272,999708
202006,147228,885248,1,4.95,"NNW","VERMILLION",39.79,-96.29,3947400,9617400
202006,147228,899328,1,0,"N","FRANKFORT",39.7,-96.42,3942000,9625200
202006,147228,899329,1,.53,"E","AXTELL",39.87,-96.26,3952200,9615600
202006,147228,899330,1,1.06,"E","AXTELL",39.87,-96.25,3952200,9615000
202006,147228,901259,1,1.38,"N","BELLEVILLE",39.84,-97.63,3950400,9737800
202006,147241,892123,1,.61,"W","GIBSONTON",27.85,-82.38,2751000,8222800
202006,147241,892123,2,.48,"W","GIBSONTON",27.8497,-82.3778,2750982,8222668
202006,147241,892123,3,.58,"W","GIBSONTON",27.8498,-82.3795,2750988,8222770
202006,147241,892123,4,.61,"W","GIBSONTON",27.8498,-82.3799,2750988,8222794
202006,147241,892124,1,3.05,"W","LITHIA",27.85,-82.22,2751000,8213200
202006,147241,892125,1,1.96,"WSW","OAK KNOLL",27.49,-82.31,2729400,8218600
202006,147241,892125,2,1.65,"WSW","OAK KNOLL",27.4917,-82.3052,2729502,8218312
202006,147241,892125,3,1.79,"W","OAK KNOLL",27.4951,-82.3086,2729706,8218516
202006,147241,892125,4,1.95,"ENE","LAKE MANATEE STATE PARK",27.4928,-82.3117,2729568,8218702
202006,147241,892126,1,0,"N","THONOTOSASSA",28.06,-82.3,283600,8218000
202006,147241,892126,2,.13,"E","THONOTOSASSA",28.0601,-82.2979,283606,8217874
202006,147241,892126,3,.16,"SE","THONOTOSASSA",28.0587,-82.2978,283522,8217868
202006,147241,892126,4,.09,"S","THONOTOSASSA",28.0587,-82.2999,283522,8217994
202006,147241,892127,1,2.79,"WSW","LAKE PANASOFFKEE",28.77,-82.17,2846200,8210200
202006,147241,892128,1,1.21,"E","LINDEN",28.57,-82.01,2834200,82600
202006,147241,892128,2,1.32,"E","LINDEN",28.5667,-82.0085,2834002,82510
202006,147241,892156,1,1.23,"W","CLEARWATER",27.9783,-82.77,2758698,8246200
202006,147241,892156,2,1.05,"NW","CLEARWATER",27.99,-82.7631,2759400,8245786
202006,147241,892157,1,3.02,"W","OXFORD",28.93,-82.08,2855800,824800
202006,147241,892157,2,2.85,"W","OXFORD",28.9233,-82.0764,2855398,824584
202006,147241,892158,1,.92,"SW","SUNNYLAND",27.27,-82.51,2716200,8230600
202006,147241,892158,2,1.01,"SW","SUNNYLAND",27.2693,-82.5111,2716158,8230666
202006,147241,892158,3,.95,"SW","SUNNYLAND",27.2693,-82.5097,2716158,8230582
202006,147241,892158,4,.9,"SW","SUNNYLAND",27.2694,-82.5085,2716164,8230510
202006,147241,892159,1,1.97,"WSW","BELSPUR",27.31,-82.48,2718600,8228800
202006,147241,892159,2,2.08,"NNW","BEE RIDGE",27.3083,-82.4814,2718498,8228884
202006,147241,892159,3,2.03,"WSW","BELSPUR",27.3083,-82.4802,2718498,8228812
202006,147241,892159,4,1.97,"WSW","BELSPUR",27.3083,-82.4793,2718498,8228758
202006,147241,892160,1,.92,"SE","OSPREY",27.19,-82.49,2711400,8229400
202006,147241,892160,2,.95,"SE","OSPREY",27.1895,-82.4901,2711370,8229406
202006,147241,892160,3,.96,"SE","OSPREY",27.1898,-82.4894,2711388,8229364
202006,147241,892160,4,.97,"SE","OSPREY",27.19,-82.4888,2711400,8229328
202006,147257,885405,1,2.21,"W","NAVAJO DAM",36.81,-107.65,3648600,10739000
202006,147257,885408,1,2.92,"WSW","BELEN",34.65,-106.83,3439000,10649800
202006,147275,898992,1,5.5,"NE","LISCO",41.56,-102.55,4133600,10233000
202006,147277,885510,1,1.35,"E","SHEBOYGAN",43.749,-87.693,4344940,8741580
202006,147278,885542,1,0,"N","GREENTOWN",40.48,-85.97,4028800,8558200
202006,147278,885543,1,2.14,"SSE","WHITESTOWN",39.97,-86.34,3958200,8620400
202006,147278,885544,1,3.77,"WSW","CASSVILLE",40.54,-86.18,4032400,8610800
202006,147278,885545,1,2.11,"W","TIPTON",40.28,-86.09,4016800,865400
202006,147278,885546,1,.53,"E","GREENTOWN",40.48,-85.96,4028800,8557600
202006,147278,885547,1,0,"N","GREENTOWN",40.48,-85.97,4028800,8558200
202006,147278,885548,1,1.38,"S","SYCAMORE",40.48,-85.92,4028800,8555200
202006,147278,885549,1,2.14,"NNE","CENTER",40.46,-86.06,4027600,863600
202006,147278,885550,1,.87,"SW","WINDFALL",40.36,-85.96,4021600,8557600
202006,147278,885551,1,1.26,"WSW","NEVADA",40.39,-86.02,4023400,861200
202006,147278,885552,1,.53,"W","PHLOX",40.42,-85.93,4025200,8555800
202006,147278,885553,1,.87,"NE","JEROME",40.46,-85.92,4027600,8555200
202006,147278,885554,1,0,"N","GASTON",40.32,-85.5,4019200,8530000
202006,147278,885555,1,0,"N","SHARPSVILLE",40.38,-86.08,4022800,864800
202006,147280,885533,1,.53,"E","NEW SALEM",39.53,-85.34,3931800,8520400
202006,147280,885535,1,2.33,"SSE","HOWELL BROTHERS ARPT",39.57,-85.4,3934200,8524000
202006,147283,885567,1,.15,"SSW","LARCHMONT HARBOR WXFLOW",40.9181,-73.7312,4055086,7343872
202006,147283,885569,1,.21,"NW","BAYVILLE WXFLOW",40.9023,-73.6326,4054138,7337956
202006,147283,885572,1,.3,"SW","NORWALK LIGHT WXFLOW",41.0767,-73.3837,414602,7323022
202006,147283,885577,1,2.95,"NNW","STATION KPTN6",40.85,-73.7898,4051000,7347388
202006,147283,885581,1,2.04,"SW","STAMFORD HARBOR",41.002,-73.571,41120,7334260
202006,147283,885583,1,.36,"NE","EATONS NECK WXFLOW",40.954,-73.3955,4057240,7323730
202006,147283,885680,1,4.67,"NW","POINT O WOODS WXFLOW",40.7,-73.2,4042000,7312000
202006,147283,885689,1,.3,"WNW","BLUE POINT WXFLOW",40.7323,-73.0349,4043938,732094
202006,147287,885692,1,.5,"ENE","WARWICK",41.2531,-74.3612,4115186,7421672
202006,147287,885694,1,1.25,"ESE","PLEASANTVILLE",41.14,-73.78,418400,7346800
202006,147287,885697,1,.36,"E","VALHALLA",41.0795,-73.7731,414770,7346386
202006,147287,885699,1,.52,"E","HAWTHORNE",41.1,-73.79,416000,7347400
202006,147287,885704,1,1.38,"N","HOLBROOK",40.82,-73.08,4049200,734800
202006,147287,885708,1,1.38,"S","MEDFORD",40.8,-73,4048000,7300
202006,147291,885717,1,1.1,"SE","GRASSY LICK",38.0671,-84.0082,384026,84492
202006,147291,885722,1,2.41,"SSE","SHARPSBURG",38.1658,-83.9211,389948,8355266
202006,147291,885722,2,1.19,"SE","SHARPSBURG",38.1898,-83.9124,3811388,8354744
202006,147291,885725,1,1.17,"SW","WOODSTOCK",37.2596,-84.5169,3715576,8431014
202006,147291,885725,2,.52,"SSW","BANDY",37.2932,-84.5039,3717592,8430234
202006,147291,885726,1,1.44,"NW","NORWOOD",37.1632,-84.6401,379792,8438406
202006,147291,885728,1,.64,"W","GRADE",37.0717,-84.4613,374302,8427678
202006,147291,885731,1,1.15,"S","WABD",37.3033,-84.4009,3718198,8424054
202006,147291,885736,1,1.2,"SE","FLEMINGSBURG",38.4072,-83.715,3824432,8342900
202006,148356,902627,1,14.98,"ESE","CHARLSON",47.9798,-102.5752,4758788,10234512
202006,148360,893653,1,10.2,"ESE","SCENIC",43.71,-102.37,4342600,10222200
202006,148360,893655,1,12.99,"W","PHILIP",44.02,-101.93,441200,10155800
202006,148360,893656,1,6.98,"N","MIDLAND",44.17,-101.17,4410200,10110200
202006,148366,893659,1,10.98,"SW","PARMELEE",43.23,-101.2,4313800,10112000
202006,148366,893660,1,6,"W","PARMELEE",43.32,-101.1394,4319200,1018364
202006,148367,893663,1,11.1,"S","HARRINGTON",43.01,-101.25,43600,10115000
202006,148369,893672,1,7,"NNE","CAMP CROOK",45.6436,-103.9246,4538616,10355476
202006,148369,893673,1,7.06,"NNE","CAMP CROOK",45.65,-103.95,4539000,10357000
202006,148369,893674,1,11.03,"SSW","LADNER",45.69,-103.84,4541400,10350400
202006,148369,893675,1,2,"E","LADNER",45.83,-103.6885,4549800,10341310
202006,148369,893677,1,9.26,"NW","LUDLOW",45.94,-103.49,4556400,10329400
202006,148370,893680,1,0,"N","(ICR)WINNER AIRPORT",43.39,-99.84,4323400,9950400
202006,148371,893684,1,1,"WSW","RED ELM",45.0545,-101.8089,453270,10148534
202006,148371,893685,1,9,"WSW","RED ELM",45.0102,-101.9603,45612,10157618
202006,148371,893686,1,0,"N","(D07)FAITH ARPT",45.03,-102.02,451800,1021200
202006,148372,893687,1,6.93,"SE","ST FRANCIS",43.07,-100.81,434200,10048600
202006,148372,893688,1,18.85,"SSE","MISSION",43.06,-100.51,433600,10030600
202006,148372,893689,1,16.55,"SSE","MISSION",43.09,-100.53,435400,10031800
202006,148372,893690,1,16.55,"SSE","MISSION",43.09,-100.53,435400,10031800
202006,148374,893695,1,0,"N","GILLETTE",44.29,-105.5,4417400,10530000
202006,148374,893696,1,2,"SSE","GILLETTE",44.2633,-105.4845,4415798,10529070
202006,148374,893697,1,1,"ESE","GILLETTE",44.2845,-105.4813,4417070,10528878
202006,148374,893698,1,1,"S","GILLETTE",44.2755,-105.5,4416530,10530000
202006,148374,893699,1,3,"S","GILLETTE",44.2466,-105.5,4414796,10530000
202006,148374,893700,1,2,"SSE","GILLETTE",44.2633,-105.4845,4415798,10529070
202006,148377,893701,1,12.6,"N","WRIGHT",43.93,-105.45,4355800,10527000
202006,148378,893706,1,4,"E","HOT SPRINGS",43.43,-103.4003,4325800,10324018
202006,148379,893710,1,1.35,"E","CUSTER",43.771,-103.573,4346260,10334380
202006,148379,893715,1,0,"N","CUSTER",43.77,-103.6,4346200,10336000
202006,148379,904934,1,2.07,"N","CUSTER",43.8,-103.6,4348000,10336000
202006,148379,904934,2,4.54,"E","CUSTER",43.78,-103.51,4346800,10330600
202006,148379,904934,3,5.27,"ESE","CUSTER",43.73,-103.51,4343800,10330600
202006,148379,904934,4,.69,"S","CUSTER",43.76,-103.6,4345600,10336000
202006,148382,893725,1,4,"SE","CARTER",43.3391,-100.1437,4320346,1008622
202006,148412,894006,1,9,"WSW","EARTH",34.1802,-102.5455,3410812,10232730
202006,148412,894011,1,6,"SSW","WOLFFORTH",33.4198,-102.0598,3325188,1023588
202006,148412,894012,1,5,"ENE","ABERNATHY",33.8577,-101.7695,3351462,10146170
202006,148412,894014,1,0,"N","NEW HOME",33.32,-101.92,3319200,10155200
202006,148412,894015,1,3,"NNE","TAHOKA",33.2201,-101.7601,3313206,10145606
202006,148412,894016,1,5.44,"SSW","GRAHAM CHAPEL",33.0815,-101.5162,334890,10130972
202006,148412,894017,1,0,"N","BROWNFIELD",33.18,-102.28,3310800,10216800
202006,148739,895979,1,1.38,"N","BRUSHY",42.45,-94,4227000,9400
202006,148739,895980,1,.85,"NE","TITONKA",43.24,-94.04,4314400,942400
202006,148739,895981,1,.69,"N","DAKOTA CITY",42.73,-94.22,4243800,9413200
202006,148739,895982,1,1.02,"E","DAKOTA CITY",42.72,-94.2,4243200,9412000
202006,148739,895983,1,.87,"SW","MURRAY",41.04,-93.98,412400,9358800
202006,148739,895992,1,.69,"S","EVANSDALE",42.46,-92.28,4227600,9216800
202006,148739,895993,1,1.23,"SW","EVANSDALE",42.46,-92.3,4227600,9218000
202006,148739,895994,1,1.68,"ESE","WATERLOO",42.49,-92.32,4229400,9219200
202006,148739,895998,1,1.47,"NNE","IOWA FALLS MUNI ARPT",42.49,-93.26,4229400,9315600
202006,148739,895999,1,0,"N","IOWA FALLS",42.52,-93.27,4231200,9316200
202006,148739,896005,1,2.31,"SSW","UNIQUE",42.69,-94.37,4241400,9422200
202006,148739,896006,1,.51,"E","DAKOTA CITY",42.72,-94.21,4243200,9412600
202006,148739,896007,1,2.54,"E","UNIQUE",42.72,-94.3,4243200,9418000
202006,148739,896009,1,2.81,"S","DAKOTA CITY",42.68,-94.21,4240800,9412600
202006,148739,896010,1,1.54,"W","FARLIN",42.08,-94.48,424800,9428800
202006,148739,896011,1,0,"N","JEFFERSON",42.02,-94.38,421200,9422800
202006,148739,896012,1,.51,"E","BOUTON",41.85,-94.01,4151000,94600
202006,148739,896013,1,.86,"NE","DALLAS CENTER",41.69,-93.96,4141400,9357600
202006,148739,896014,1,.69,"S","ASHAWA",41.57,-93.77,4134200,9346200
202006,148739,896015,1,1.24,"SE","WEST DES MOINES",41.57,-93.7,4134200,9342000
202006,148739,896016,1,0,"N","ASHAWA",41.58,-93.77,4134800,9346200
202006,148739,896017,1,1.24,"NW","URBANDALE",41.64,-93.74,4138400,9344400
202006,147291,885736,2,2.16,"WNW","DALESBURG",38.48,-83.7078,3828800,8342468
202006,147291,885740,1,1.79,"SW","EGLON",37.4295,-84.1399,3725770,848394
202006,147291,885744,1,.55,"W","WANETA",37.47,-84.04,3728200,842400
202006,147291,885748,1,.63,"NNE","FOXTOWN",37.5077,-83.9938,3730462,8359628
202006,147291,885753,1,0,"N","ANNVILLE",37.32,-83.97,3719200,8358200
202006,147291,885759,1,1.4,"ENE","RAVENNA",37.6897,-83.9275,3741382,8355650
202006,147291,885763,1,2.17,"WSW","SYMBOL",37.2627,-84.1685,3715762,8410110
202006,147291,885763,2,1.75,"WNW","SYMBOL",37.2771,-84.1606,3716626,849636
202006,147291,885764,1,3.06,"SW","SLADE",37.7689,-83.7398,3746134,8344388
202006,147291,885765,1,.7,"S","LOWER BUFFALO",37.5199,-83.6984,3731194,8341904
202006,147291,885768,1,2.12,"NNW","GATES",38.2599,-83.379,3815594,8322740
202006,147291,885769,1,1.6,"S","HALDEMAN",38.227,-83.3167,3813620,8319002
202006,147291,885770,1,1.68,"SSE","PAXTON",37.6589,-83.4049,3739534,8324294
202006,147291,885773,1,.55,"SE","WEST LIBERTY",37.9139,-83.2635,3754834,8315810
202006,147291,885775,1,.88,"SW","FLATGAP",37.92,-82.89,3755200,8253400
202006,147291,885776,1,.55,"W","PAINTSVILLE",37.82,-82.81,3749200,8248600
202006,147293,885712,1,.21,"SSE","STATION SDHN4",40.467,-74.009,4028020,74540
202006,147294,885715,1,0,"N","ASSARIA",38.68,-97.6,3840800,9736000
202006,147298,885724,1,.87,"SE","LITTLE NECK",40.76,-73.74,4045600,7344400
202006,147298,885727,1,.64,"NNW","HICKSVILLE",40.7882,-73.5056,4047292,7330336
202006,147298,885730,1,.73,"NW","HICKSVILLE",40.7868,-73.5106,4047208,7330636
202006,147301,885733,1,26.46,"W","FIRE ISLAND WXFLOW",40.6392,-73.7639,4038352,7345834
202006,147301,885750,1,85.74,"NE","STATION 44025",41.2018,-72.1192,4112108,727152
202006,147302,885738,1,1.55,"E","VERSAILLES",41.6,-72.02,4136000,721200
202006,147302,885742,1,.59,"NNE","JEWETT CITY",41.6082,-71.9771,4136492,7158626
202006,147328,885978,1,1.48,"NNE","DWYER",39.69,-84.21,3941400,8412600
202006,147328,885979,1,0,"N","NATIONAL MILITARY HO",39.75,-84.25,3945000,8415000
202006,147328,885980,1,.53,"W","CROSSWICK",39.53,-84.09,3931800,845400
202006,147328,885981,1,.94,"N","GOES",39.7835,-83.9208,3947010,8355248
202006,147328,885982,1,1.48,"SSE","FT MC KINLEY",39.78,-84.24,3946800,8414400
202006,147328,886249,1,0,"N","MT ST JOSEPH",39.1,-84.63,396000,8437800
202006,147328,886250,1,0,"N","(DAY)COX DAYTON INTL",39.9,-84.22,3954000,8413200
202006,147328,886251,1,.53,"W","LEBANON JCT",39.73,-84.13,3943800,847800
202006,147328,886252,1,.87,"NW","LEBANON JCT",39.74,-84.13,3944400,847800
202006,147328,886253,1,.87,"NE","MORGAN PLACE",39.89,-84.26,3953400,8415600
202006,147328,886254,1,.69,"N","TROY",40.06,-84.2,403600,8412000
202006,147328,886257,1,1.69,"NW","PIQUA",40.1647,-84.2556,409882,8415336
202006,147328,886258,1,1.3,"NW","GOES",39.7843,-83.936,3947058,8356160
202006,147328,886374,1,.26,"W","SIDNEY",40.2801,-84.155,4016806,849300
202006,147328,886376,1,0,"N","SIDNEY",40.28,-84.15,4016800,849000
202006,147328,886377,1,.68,"W","SIDNEY",40.2793,-84.1628,4016758,849768
202006,147328,886378,1,.53,"W","PORT JEFFERSON",40.33,-84.09,4019800,845400
202006,147328,886379,1,.37,"NNE","PLEASANT HILL",40.0549,-84.3471,403294,8420826
202006,147328,891024,1,.28,"SW","SUGAR GROVE",40.0774,-84.354,404644,8421240
202006,147328,891024,2,.27,"ESE","SUGAR GROVE",40.0781,-84.3456,404686,8420736
202006,147333,886010,1,5.72,"ENE","DURANGO",37.3089,-107.7882,3718534,10747292
202006,147338,886113,1,16.81,"SSW","RHAME",46.01,-103.8,46600,10348000
202006,147338,886116,1,2.03,"ENE","RHAME",46.24,-103.61,4614400,10336600
202006,147338,886117,1,.84,"SE","HETTINGER ARPT",46.01,-102.64,46600,10238400
202006,147338,886129,1,.84,"NE","BOWMAN",46.19,-103.39,4611400,10323400
202006,147338,886180,1,2.49,"SSW","MINOT",48.2,-101.31,4812000,10118600
202006,147341,886065,1,2.12,"ENE","REEDSBURG MUNI ARPT",43.54,-89.94,4332400,8956400
202006,147341,886065,2,.97,"ESE","BARABOO",43.4634,-89.713,4327804,8942780
202006,147341,886067,1,0,"N","LONE ROCK AIRPORT",43.21,-90.19,4312600,9011400
202006,147341,886075,1,0,"N","BLUE MOUNDS",43.02,-89.83,431200,8949800
202006,147341,886076,1,1.01,"E","MAPLE BLUFF",43.1,-89.33,436000,8919800
202006,147341,886080,1,1.99,"W","WESTFIELD",43.88,-89.52,4352800,8931200
202006,147341,886080,2,2,"SSE","ENDEAVOR",43.672,-89.4598,4340320,8927588
202006,147341,886083,1,.69,"S","MARQUETTE",43.74,-89.14,4344400,898400
202006,147341,886084,1,.85,"SW","KINGSTON",43.69,-89.13,4341400,897800
202006,147341,886090,1,.69,"S","WISCONSIN DELLS",43.62,-89.77,4337200,8946200
202006,147341,886097,1,1,"W","PORTAGE",43.55,-89.47,4333000,8928200
202006,147341,886097,2,1.13,"WNW","PARDEEVILLE",43.5341,-89.3019,4332046,8918114
202006,147341,886098,1,4.92,"NE","LEWISTON",43.63,-89.56,4337800,8933600
202006,147341,886104,1,.85,"NW","ARLINGTON",43.34,-89.38,4320400,8922800
202006,147341,886125,1,.86,"NNE","FOND DU LAC  AIRPORT",43.7816,-88.4836,4346896,8829016
202006,147341,886125,2,2.77,"S","TAYCHEEDAH",43.7601,-88.3947,4345606,8823682
202006,147341,886131,1,.69,"N","MT CALVARY",43.83,-88.25,4349800,8815000
202006,147341,886132,1,1.99,"E","JOHNSBURG",43.88,-88.24,4352800,8814400
202006,147341,886133,1,1.65,"ESE","MT CALVARY",43.81,-88.22,4348600,8813200
202006,147341,886134,1,1,"W","DUNDEE",43.65,-88.2,4339000,8812000
202006,147341,886138,1,.5,"E","PLYMOUTH",43.75,-87.97,4345000,8758200
202006,147341,886145,1,1,"E","KOHLER",43.73,-87.76,4343800,8745600
202006,147341,886146,1,0,"N","(SBM)SHEBOYGAN CO AR",43.77,-87.85,4346200,8751000
202006,147341,886154,1,.85,"SW","BEAVER DAM",43.46,-88.84,4327600,8850400
202006,147341,886157,1,.5,"W","WAUPUN",43.63,-88.74,4337800,8844400
202006,147341,886159,1,.69,"N","JUNEAU",43.41,-88.7,4324600,8842000
202006,147341,886161,1,0,"N","HUSTISFORD",43.35,-88.6,4321000,8836000
202006,147341,886164,1,2.89,"NW","DANVILLE",43.36,-88.99,4321600,8859400
202006,147341,886169,1,2.13,"WNW","HOLY HILL",43.25,-88.37,4315000,8822200
202006,147341,886173,1,2.51,"E","ST ANTHONY",43.43,-88.28,4325800,8816800
202006,147341,886177,1,2.13,"ESE","HARTFORD",43.31,-88.34,4318600,8820400
202006,147341,886178,1,2.12,"WNW","SAUKVILLE",43.39,-87.97,4323400,8758200
202006,147341,886179,1,2.01,"W","FIVE CORNERS",43.32,-88.04,4319200,882400
202006,147347,886082,1,22.39,"WSW","HIAWATHA CAMP",40.83,-109.01,4049800,109600
202006,147347,886085,1,12.17,"NW","GREYSTONE",40.74,-108.84,4044400,10850400
202006,147347,886086,1,0,"N","MEEKER ARPT",40.05,-107.88,403000,10752800
202006,147347,886088,1,2.07,"N","DURHAM",39.11,-108.6,396600,10836000
202006,147347,886089,1,.54,"E","CLIFTON",39.08,-108.44,394800,10826400
202006,147347,886091,1,0,"N","(CEZ)CORTEZ ARPT",37.3,-108.63,3718000,10837800
202006,147347,886093,1,2.68,"E","ORCHARD MESA",39.03,-108.52,391800,10831200
202006,147347,886093,2,2.62,"SE","GRAND JCT",39.05,-108.52,393000,10831200
202006,147347,886096,1,.87,"NW","FRUITA",39.16,-108.74,399600,10844400
202006,147347,887498,1,4.37,"NE","CAMEO",39.2,-108.27,3912000,10816200
202006,147347,887499,1,.53,"W","DOUGLAS PASS",39.6,-108.81,3936000,10848600
202006,147347,887500,1,7.11,"WNW","DOVE CREEK",37.81,-109.02,3748600,1091200
202006,147347,887501,1,5.34,"WNW","CAHONE",37.68,-108.91,3740800,10854600
202006,147347,890831,1,1.48,"NE","GRAND JCT",39.0953,-108.5308,395718,10831848
202006,147347,890832,1,2.12,"ENE","ORCHARD MESA",39.0439,-108.5347,392634,10832082
202006,147347,890833,1,2.83,"SSE","GRAND JCT",39.0459,-108.5208,392754,10831248
202006,147351,886107,1,0,"N","HAMILTON",48.8,-97.45,4848000,9727000
202006,147351,886114,1,2.76,"N","ST THOMAS",48.66,-97.45,4839600,9727000
202006,147352,886118,1,3.83,"ENE","BIG WOODS",48.33,-97.05,4819800,973000
202006,147353,886136,1,.69,"S","MOAB",38.57,-109.55,3834200,10933000
202006,147353,886139,1,.88,"SE","(CNY)CANYONLANDS FLD",38.76,-109.74,3845600,10944400
202006,147353,886143,1,.55,"E","(4BL)BLANDING MUNI A",37.58,-109.47,3734800,10928200
202006,147353,886147,1,.54,"E","CRESCENT JCT",38.95,-109.79,3857000,10947400
202006,147353,886148,1,1.79,"WNW","ANETH",37.23,-109.21,3713800,10912600
202006,147354,889038,1,.69,"S","BEVENT",44.76,-89.38,4445600,8922800
202006,147354,889039,1,1.48,"W","FONTENOY",44.37,-87.81,4422200,8748600
202006,147354,889040,1,.85,"NW","MARIBEL",44.28,-87.81,4416800,8748600
202006,147355,886200,1,4.72,"NW","MACK",39.27,-108.93,3916200,10855800
202006,147355,886201,1,1.28,"ENE","DURHAM",39.09,-108.58,395400,10834800
202006,147355,886202,1,.53,"W","(1V1)RIFLE ARPT",39.53,-107.73,3931800,10743800
202006,147355,886208,1,12.04,"SSW","RANGELY",39.92,-108.89,3955200,10853400
202006,147355,886209,1,2.76,"N","SKYWAY",39.09,-108.12,395400,1087200
202006,147355,886211,1,0,"N","MEEKER ARPT",40.05,-107.88,403000,10752800
202006,147355,887493,1,100.72,"N","DE BEQUE",40.76,-107.85,4045600,10751000
202006,147355,887494,1,13.08,"ENE","BUFORD",40.08,-107.37,404800,10722200
202006,147355,887495,1,4.28,"E","BLUE MTN",40.24,-108.77,4014400,10846200
202006,147355,887496,1,3.44,"NW","DOLORES",37.48,-108.55,3728800,10833000
202006,148004,891170,1,1.77,"ENE","WEST HAMLIN",38.29,-82.17,3817400,8210200
202006,148004,891171,1,.54,"E","MINERAL WELLS ARPT",39.18,-81.51,3910800,8130600
202006,148004,891172,1,4.28,"NNE","BYRNSIDE",38.36,-81.95,3821600,8157000
202006,148004,891175,1,.53,"W","PENNSBORO",39.28,-80.98,3916800,8058800
202006,148014,891207,1,.5,"SSE","FOSTER",38.7936,-84.2156,3847616,8412936
202006,148014,891207,2,.63,"SSE","FOSTER",38.7917,-84.215,3847502,8412900
202006,148014,891207,3,.61,"SE","FOSTER",38.7926,-84.2137,3847556,8412822
202006,148014,891207,4,.51,"SE","FOSTER",38.794,-84.2146,3847640,8412876
202006,148014,891209,1,.87,"NE","PARK HILLS",39.08,-84.52,394800,8431200
202006,148014,891209,2,.87,"NE","PARK HILLS",39.0798,-84.5199,394788,8431194
202006,148014,891209,3,.86,"NE","PARK HILLS",39.0799,-84.5201,394794,8431206
202006,148014,891209,4,.87,"NE","PARK HILLS",39.08,-84.5201,394800,8431206
202006,148014,891212,1,.54,"E","FOSTER",38.8,-84.21,3848000,8412600
202006,148029,891360,1,4,"WNW","CROSSTOWN",37.7722,-89.7977,3746332,8947862
202006,148029,891362,1,3,"WSW","HARVIELL",36.6534,-90.52,3639204,9031200
202006,148029,899003,1,.32,"WSW","FREMONT",36.9481,-91.1754,3656886,9110524
202006,148029,899003,2,2.93,"ESE","FREMONT",36.9291,-91.1238,3655746,917428
202006,148029,899003,3,3.85,"NW","EASTWOOD",36.9327,-91.0864,3655962,915184
202006,148029,899003,4,1.63,"WSW","SOUTH VAN BUREN",36.9454,-91.049,3656724,912940
202006,148029,899003,5,1.83,"WNW","VAN BUREN",37.014,-91.0482,37840,912892
202006,148029,899003,6,3.56,"NNE","FREMONT",37.0001,-91.1549,3706,919294
202006,148030,891365,1,5,"WSW","MURPHYSBORO",37.7423,-89.4146,3744538,8924876
202006,148031,891370,1,5,"SW","ELKTON",36.7688,-87.2139,3646128,8712834
202006,148031,899012,1,0,"N","HENDERSON",37.83,-87.58,3749800,8734800
202006,148031,899012,2,0,"N","SPOTTSVILLE",37.85,-87.42,3751000,8725200
202006,148031,899012,3,0,"N","REED",37.85,-87.35,3751000,8721000
202006,148031,899012,4,2.14,"WSW","HEBBARDSVILLE",37.7601,-87.4071,3745606,8724426
202006,148031,899012,5,0,"WSW","ROBARDS",37.67,-87.55,3740200,8733000
202006,148031,899012,6,0,"NE","CORYDON",37.73,-87.7,3743800,8742000
202006,148031,899013,1,0,"NE","CALHOUN",37.53,-87.27,3731800,8716200
202006,148031,899013,2,0,"N","ISLAND",37.45,-87.15,3727000,879000
202006,148031,899013,3,0,"NE","LIVERMORE",37.48,-87.13,3728800,877800
202006,148031,899013,4,1.38,"W","NUCKOLS",37.5174,-87.1449,3731044,878694
202006,148031,899013,5,2.22,"NE","CALHOUN",37.555,-87.2445,3733300,8714670
